QFN Pad,X (um),Y (um),Die Edge,Type,Name
1,-2595.0,-2737.0,left,Signal,ctl[0]
2,-2210.0,-3120.0,bottom,Signal,ctl[1]
3,-1870.0,-3120.0,bottom,Signal,ctl[2]
4,-1530.0,-3120.0,bottom,Signal,ctl[3]
5,-1190.0,-3120.0,bottom,Signal,ctl[4]
6,-850.0,-3120.0,bottom,Signal,ctl[5]
7,-510.0,-3120.0,bottom,Signal,nc
8,-170.0,-3120.0,bottom,Signal,nc
9,170.0,-3120.0,bottom,Signal,uo[0]
10,510.0,-3120.0,bottom,Signal,uo[1]
11,850.0,-3120.0,bottom,Signal,uo[2]
12,1190.0,-3120.0,bottom,Signal,uo[3]
13,1530.0,-3120.0,bottom,Signal,uo[4]
14,1870.0,-3120.0,bottom,Signal,uo[5]
15,2210.0,-3120.0,bottom,Signal,uo[6]
16,2595.0,-2737.0,right,Signal,uo[7]
17,2595.0,-2415.0,right,POWER,VDD IO
18,2595.0,-2093.0,right,GROUND,GND IO
19,2595.0,-1771.0,right,Signal,ana[0]
20,2595.0,-1449.0,right,Signal,ana[1]
21,2595.0,-1127.0,right,Signal,ana[2]
22,2595.0,-805.0,right,Signal,ana[3]
23,2595.0,-483.0,right,POWER,VAA Analog
24,2595.0,-161.0,right,GROUND,GND Analog
25,2595.0,161.0,right,Signal,ana[4]
26,2595.0,483.0,right,Signal,ana[5]
27,2595.0,805.0,right,Signal,ana[6]
28,2595.0,1127.0,right,Signal,ana[7]
29,2595.0,1449.0,right,GROUND,GND Core
30,2595.0,1771.0,right,POWER,VDD Core
31,2595.0,2093.0,right,GROUND,GND IO
32,2595.0,2415.0,right,POWER,VDD IO
33,2595.0,2737.0,right,Signal,uio[0]
34,2210.0,3120.0,top,Signal,uio[1]
35,1870.0,3120.0,top,Signal,uio[2]
36,1530.0,3120.0,top,Signal,uio[3]
37,1190.0,3120.0,top,Signal,uio[4]
38,850.0,3120.0,top,Signal,uio[5]
39,510.0,3120.0,top,Signal,uio[6]
40,170.0,3120.0,top,Signal,uio[7]
41,-170.0,3120.0,top,Signal,ui[0]
42,-510.0,3120.0,top,Signal,ui[1]
43,-850.0,3120.0,top,Signal,ui[2]
44,-1190.0,3120.0,top,Signal,ui[3]
45,-1530.0,3120.0,top,Signal,ui[4]
46,-1870.0,3120.0,top,Signal,ui[5]
47,-2210.0,3120.0,top,Signal,ui[6]
48,-2595.0,2737.0,left,Signal,ui[7]
49,-2595.0,2415.0,left,Signal,u_rst_n
50,-2595.0,2093.0,left,Signal,u_clk
51,-2595.0,1771.0,left,GROUND,GND IO
52,-2595.0,1449.0,left,POWER,VDD IO
53,-2595.0,1127.0,left,Signal,ana[8]
54,-2595.0,805.0,left,Signal,ana[9]
55,-2595.0,483.0,left,Signal,ana[10]
56,-2595.0,161.0,left,Signal,ana[11]
57,-2595.0,-161.0,left,GROUND,GND Analog
58,-2595.0,-483.0,left,POWER,VDD Analog
59,-2595.0,-805.0,left,Signal,ana[12]
60,-2595.0,-1127.0,left,Signal,ana[13]
61,-2595.0,-1449.0,left,Signal,ana[14]
62,-2595.0,-1771.0,left,Signal,ana[15]
63,-2595.0,-2093.0,left,GROUND,GND Core
64,-2595.0,-2415.0,left,POWER,VDD Core
